oper_num,oper_nm,apprvl_dt,sign_dt,cntry_cd,cntry_nm,publc_sts_nm,sector_cd,sector_nm,subsector_cd,subsector_nm,oper_typ_cd,opertyp_nm,objtv,orig_apprvd_useq_amnt,totl_cost_orig,loc_cntrprt,lending_typ_nm,modality_cd,modality_nm,facility_typ_cd,facility_typ_nm,envmntl_clssfctn_cd,envmntl_clssfctn_nm,lending_instrmnt_cd,lending_instrmnt_nm,lending_typ_cd,sts_cd
CO-T1778,Are Conditions Still Important for Cash Transfers?,2024-11-27T00:00,2024-11-27T00:00,CO,Colombia,Implementation,RM,REFORM / MODERNIZATION OF THE STATE,RM-MFR,MANAGEMENT FOR DEVELOPMENT RESULTS,TCP,Technical Cooperation,"This TC will provide knowledge to address a strategic knowledge gap around the role of conditions in conditional cash transfers. While conditional cash transfers have been instrumental in alleviating poverty in the region, removing conditions that are no longer necessary could save the government monitoring costs. Further, the requirement to meet co-responsibilities may screen out some of the families most in need. Re-evaluating the impact of conditions will provide novel strategic knowledge to the Bank and its clients.",150000.000,150000.00,NULL,Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,ACTIVE
CO-T1779,Strengthening the water and sanitation sector to improve service provision in Colombia,2025-06-30T00:00,2025-06-30T00:00,CO,Colombia,Implementation,AS,WATER AND SANITATION,AS-AGU,WATER SUPPLY URBAN,TCP,Technical Cooperation,"The Technical Cooperation's overall goal is to promote improved performance in the water and sanitation sector in Colombia, working both at the utility level and within public entities.",1426000.000,1826000.00,400000.00,Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,ACTIVE
CO-T1780,Evaluating the Role of Unpaid Care in the Rural Economy in Colombia,2024-12-10T00:00,2024-12-10T00:00,CO,Colombia,Implementation,AG,AGRICULTURE AND RURAL DEVELOPMENT,AG-DEV,SUSTAINABLE AGRICULTURAL DEVELOPMENT,TCP,Technical Cooperation,"The objective of this TC is to measure the causal effect of a pilot initiative that includes the complementary investments in Rural Care Work in sustainable agricultural projects in Colombia, aimed at recognizing, reducing, redistributing, representing, and rewarding Rural Care Work activities. The evaluation will analyze the impact of these interventions on: (i) household income; (ii) food security; (iii) women's empowerment; (iv) women's workload; and (v) the performance of agricultural production activities. The specific objectives are: (i) to collect field data to measure the effects of the Rural Care Work pilot; (ii) to implement focus groups and other qualitative activities to thoroughly understand the analyzed effects; and (iii) to develop the impact evaluation of the complementary rural care work investments within the framework of the pilot.",262500.000,302500.00,40000.00,Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,ACTIVE
CO-T1781,Heal to Grow: Scaling Impact in Colombia,2024-12-10T00:00,2024-12-10T00:00,CO,Colombia,Implementation,ED,EDUCATION,ED-PRE,PRESCHOOL & EARLY CHILDHOOD EDUCATION,TCP,Technical Cooperation,The proposed TC aims to develop and experimentally evaluate a highly scripted Heal to Grow outsourced early educator training model. The TC will contribute to the understanding the linkage between key execution issues and the effectiveness of education programs.,225000.000,225000.00,NULL,Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,ACTIVE
CO-T1782,Knowledge Exchange between Colombia and Brazil on sharing experiences and best practices in urban planning in Curitiba as part of the 'Plan Cali 500+' project,2024-10-04T00:00,2024-10-04T00:00,CO,Colombia,Closed,DU,URBAN DEVELOPMENT AND HOUSING,DU-LAN,URBAN LAND PLANNING AND MANAGEMENT,TCP,Technical Cooperation,"The mission's objective is to exchange best practices in urban planning by studying the innovative strategies of Curitiba, particularly their long-term vision, public transportation, integrated urban development, and resilience planning. The mission aims to adapt these practices to Cali, with a focus on citizen participation, addressing contemporary urban challenges like climate change and socioeconomic inequality. The visit will also foster collaboration with local entities, securing co-financing for travel and accommodation, and strengthen technical cooperation between the Inter-American Development Bank and the ""Plan Cali 500+"" project.",20000.000,20000.00,NULL,Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
CO-T1783,Support for the Territorial Public Investment Strengthening Program,NULL,NULL,CO,Colombia,Preparation,DU,URBAN DEVELOPMENT AND HOUSING,DU-LAN,URBAN LAND PLANNING AND MANAGEMENT,TCP,Technical Cooperation,"Support the necessary conditions in subnational governments and Findeter to increase public investment in infrastructure for the provision of public goods, services, and equipment in territorial entities in Colombia. This is done by strengthening the technical capacities of Findeter and the Territorial Entities to structure, evaluate, and support urban and territorial infrastructure projects with cross-cutting approaches to gender, diversity, energy efficiency, and carbon neutrality. This is also done by improving mechanisms for identifying and grouping eligible, high-priority projects in territories with lower capacities.",100000.000,200000.00,NULL,Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,ACTIVE
CO-T1784,Artificial Intelligence models for congestion prediction and optimal traffic management in Bogotá,2024-11-08T00:00,2024-11-08T00:00,CO,Colombia,Implementation,TR,TRANSPORT,TR-UGC,DEMAND MANAGEMENT AND CONTROL OF URBAN TRANSPORT SYSTEMS,TCP,Technical Cooperation,"This Technical Cooperation (TC) aims to enhance traffic flow prediction and optimization in Bogotá by leveraging artificial intelligence (AI) as a key tool, utilizing existing data resources for traffic management and transportation planning, and establishing a clear pathway for AI integration into mobility management.",220000.000,220000.00,NULL,Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,ACTIVE
CO-T1785,Zero deforestation cocoa: A model for sustainability and market access for agroforestry cocoa producers in the Colombian Amazon,NULL,NULL,CO,Colombia,Preparation,AG,AGRICULTURE AND RURAL DEVELOPMENT,AG-DEV,SUSTAINABLE AGRICULTURAL DEVELOPMENT,TCP,Technical Cooperation,"The technical cooperation's objective is to strengthen the cocoa value chain in the Colombian Amazon through: (i) promoting georeferenced zero-deforestation traceability, (ii) encouraging the transition to biodiverse agroforestry systems (AFS) that increase productivity and diversify income, and (iii) fostering associative strengthening and commercial linkages.",1550000.000,1701000.00,151000.00,Sovereign Guaranteed,NULL,NULL,NULL,NULL,N/A,NULL,NULL,NULL,SG,ACTIVE
CO-T1786,Support the use of AI to generate efficiencies in the Colombian Healthcare System,2024-11-09T00:00,2024-11-09T00:00,CO,Colombia,Implementation,SA,HEALTH,SA-ICT,e-HEALTH,TCP,Technical Cooperation,"The objective of this technical cooperation (TC) is to support the use of artificial intelligence to increase the efficiency of the General System of Social Security in Health (SGSS) in Colombia. To meet this objective, the TC will focus on i) assisting in the design and implementation of artificial intelligence tools based on models and algorithms for the auditing processes of health services and technologies, considering the ethical use of AI, ii) developing training sessions for the personnel of the Resource Administrator of the General Social Security Health System - ADRES - to promote the ethical and responsible use of artificial intelligence techniques and, iii) deploying experience exchange sessions with other countries.",200000.000,200000.00,NULL,Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,ACTIVE
CO-T1789,Knowledge Exchange between the cities of Bogotá and Cali (Colombia) and Buenos Aires (Argentina) on Waste Management and Recycling Practices,2025-03-04T00:00,2025-03-04T00:00,CO,Colombia,Implementation,AS,WATER AND SANITATION,AS-SOL,SOLID WASTE,TCP,Technical Cooperation,"The objective of this technical cooperation is to exchange best practices and experiences in comprehensive solid waste management between the city of Buenos Aires and Bogotá and Cali. This exchange encompasses aspects such as recycling, waste containerization, organic waste treatment, and collaboration with recycling cooperatives. The mission aims to identify innovative and adaptable solutions to enhance operational efficiency and environmental sustainability in both contexts.",20000.000,20000.00,NULL,Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,ACTIVE
