oper_num,oper_nm,apprvl_dt,sign_dt,cntry_cd,cntry_nm,publc_sts_nm,sector_cd,sector_nm,subsector_cd,subsector_nm,oper_typ_cd,opertyp_nm,objtv,orig_apprvd_useq_amnt,totl_cost_orig,loc_cntrprt,lending_typ_nm,modality_cd,modality_nm,facility_typ_cd,facility_typ_nm,envmntl_clssfctn_cd,envmntl_clssfctn_nm,lending_instrmnt_cd,lending_instrmnt_nm,lending_typ_cd,sts_cd
RG-T1583,Evaluación del Programa Comercial de la Dirección General para las Américas ACDI,2008-10-15T00:00,2008-10-15T00:00,RG,Regional,Cerrado,TD,COMERCIO,TD,COMERCIO,TCP,Cooperación Técnica,"El objetivo del proyecto es evaluar actividades de asistencia técnica relacionadas con el comercio del Programa Comercial de la Dirección General para las Américas de la ACDI (sección BMI), con el fin de identificar el punto hasta el cual se lograron resultados y extraer lecciones aprendidas. Específicamente, el proyecto analizará operaciones financiadas por la ACDI y ejecutadas por el BID, OEA, CEPAL, la Agencia de Servicios Fronterizos de Canadá, la Oficina de Trabajo de Recursos Humanos y Desarrollo Social de Canadá, y TDV Global.",144789.000,144789.00,0.00,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
RG-T1584,Gestión del Conocimiento de los Fondos KMG y MTP,2008-09-12T00:00,2008-09-12T00:00,RG,Regional,Cerrado,NULL,NULL,UND,NULL,TCP,Cooperación Técnica,"El propósito de esta operación es contribuir a la implementación del Plan de Acción para la Gestión del Conocimiento de los Fondos de DFID (KMG y el MTP), aprobado en conjunto con el donante y el Banco Mundial el 16 de junio del 2008; el Plan apunta principalmente a: i) contribuir a promover el uso de los productos de los Fondos por parte de los especialistas del Banco y de tomadores de decisión en la región,; ii) asegurar una relación sinérgica entre las actividades de diseminación/difusión de las 3 agencias involucradas; y iii) generar espacios de intercambio de información que permitan la continuidad de enfoques promovidos por los Fondos en la programación del BM y del BID, así como la diseminación de las lecciones de América Latina. Los objetivos específicos de esta operación son: i) Sistematizar los productos de conocimiento generados por los Fondos (y en otros aspectos de la administración de los Fondos); ii) apoyar la implementación del Plan de Acción vía la adaptación de los productos existentes, el diseño de nuevos y/o la organización de eventos de difusión, capacitación, etc., tanto para los expertos de las agencias participantes, como para tomadores de decisión en la región; y iii) proporcionar insumos para los procesos de gestión de conocimiento de DFID y la evaluación interina de los fondos.",220000.000,220000.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1585,Tecnologías Innovadoras para Personas con Discapacidades,2008-10-02T00:00,2008-10-02T00:00,RG,Regional,Cerrado,ST,CIENCIA Y TECNOLOGIA,ST,CIENCIA Y TECNOLOGIA,TCP,Cooperación Técnica,"El objetivo es promover el desarrollo de innovaciones que mejoren la vida de personas con discapacidades en la región, e incrementen su participación en la educación y el mercado laboral, así como su inclusión económica, política, y en las esperas socio-culturales de la sociedad.",750000.000,750000.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1586,Evaluación del Impacto sobre la Pobreza del aumento del Precio de los Alimentos,2008-07-25T00:00,2008-07-25T00:00,RG,Regional,Cerrado,TD,COMERCIO,TD,COMERCIO,TCP,Cooperación Técnica,"El objetivo general es fortalecer la capacidad analítica de los gobiernos de América Latina y el Caribe (ALC) en evaluar los costos y beneficios sociales a nivel mundial el aumento de los precios de los alimentos. Los objetivos específicos son: (i) identificar los principales países de ALC que serán los más afectados por el aumento en los precios de los alimentos en términos de pobreza, y (ii) desarrollar un país específico herramienta que guía los gobiernos de los funcionarios en la identificación de los adecuados las intervenciones de políticas orientadas hacia el consumo, los ingresos o precios.",150000.000,150000.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1587,Evaluaciones de Riesgo de Desastre e Indicadores de Riesgo y Gestión del Riesgo,2008-11-20T00:00,2008-11-20T00:00,RG,Regional,Cerrado,PA,MEDIO AMBIENTE Y DESASTRES NATURALE,PA-DRM,GESTIÓN INTEGRADA DEL RIESGO DE DESASTRES,TCP,Cooperación Técnica,"Mejorar la integración de la gestión integral del riesgo de desastres dentro del proceso de desarrollo socio-económico. Esta operación se enmarca dentro de la implementación del Plan de Acción del Banco para Mejorar la Gestión del Riesgo de Desastres 2005-2008 en sus países prestatarios miembros. Los objetivos específicos son: (i) evaluar el riesgo de desastres para Belice, El Salvador y Guatemala; y (ii) aplicar los Indicadores de Riesgo de Desastres y Gestión de Riesgos para Belice y actualizarlos para Guatemala y El Salvador.",1000000.000,1000000.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1588,Fortalecimiento de la Organizacion Internacional de Teletones,2008-12-16T00:00,2009-01-29T00:00,RG,Regional,Cerrado,SA,SALUD,SA,SALUD,TCP,Cooperación Técnica,"El objetivo de esta CT es avanzar en la rehabilitación integral de personas con discapacidad de la región a través del establecimiento de mecanismos modernos de convocatoria, aprendizaje y coordinación interinstitucional liderados desde ORITEL",500000.000,600000.00,100000.00,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
RG-T1589,Facilitación Pasos de Frontera Colombia Ecuador.,2008-12-15T00:00,2009-10-15T00:00,RG,Regional,Cerrado,TR,TRANSPORTE,TR,TRANSPORTE,TCP,Cooperación Técnica,"Estudios de prefactibilidad y factibilidad; Diseños de proyectos; Estudios relacionados con la viabilidad (técnica, económica, financiera, social e institucional) de proyectos; Estudios sociales y ambientales; y Evaluaciones ambientales estratégicas, entre otras.",400000.000,480000.00,80000.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1590,Facilidad Regional para el Desarrollo de Programas de Seguros II,2009-01-08T00:00,2009-01-08T00:00,RG,Regional,Cerrado,FM,MERCADOS FINANCIEROS,FM-INS,DESARROLLO DE LOS MERCADOS DE SEGUROS,TCP,Cooperación Técnica,"El objetivo principal del Programa es apoyar el desarrollo de facilidades de seguro paramétrico de riesgo de desastres para dos países del COSEFIM a través del financiamiento de la segunda fase del PDFSR. El propósito de esta segunda fase es la estructuración y puesta en operación de las facilidades, incluyendo la activación de la cobertura de seguro y reaseguro para dos países miembros del COSEFIM.",500000.000,500000.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1591,Fortalecimiento de capacidades para la implementación y administración de TLCs,2008-11-12T00:00,2008-11-12T00:00,RG,Regional,Cerrado,TD,COMERCIO,TD,COMERCIO,TCP,Cooperación Técnica,Apoyar los países de América Latina en resolver retos y problemas relaciones con la implementación y administración de los acuerdos internacionales de libre comercio.,350000.000,350000.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1592,Ayuda para el Comercio-Fortalecimiento estandares laboral/ambiental en LAC,2008-11-12T00:00,2008-11-12T00:00,RG,Regional,Cerrado,TD,COMERCIO,TD,COMERCIO,TCP,Cooperación Técnica,Fortalecer la capacidad institucional de los países de la región para implementar y administrar los compromisos en materia laboral y ambiental contraídos en el contexto de acuerdos comerciales.,250000.000,250000.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
