"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BHR","Bahrain",-0.118543930951814,-0.124401887484786,-0.130203059361064,-0.137770942998543,-0.137839778041431,-0.140089258031734,-0.119870212276727,-0.0939086199631344,-0.123672709714233,-0.124962100269434,-0.115492387953203,-0.0643483885390019,-0.0631708983576365,-0.121733617676821,-0.108248872251567,-0.10789847913363,-0.108107329743846,-0.109878067831624,-0.10070650836549,-0.0905863623146579,-0.0724703346044102,-0.0901259113707099,-0.111901051260287,-0.120356126831751,-0.133790110178711,-0.0951058689948658,-0.073438717369533,-0.10045041754895,-0.110942868533206
"BGD","Bangladesh",-0.0091597596314017,-0.00957491737456173,-0.00221937524121363,0.00500505503764326,-0.0120324008388298,-0.0291808837635009,-0.0380677563759623,-0.0474696127997057,-0.0547580631892039,-0.0595878101033318,-0.0244961022261191,0.0422634011310046,0.0746047495903638,0.0784014406041325,0.0779493842359764,0.103836742957468,0.101158959326027,0.119995792610169,0.119704017230211,-0.0989597401761484,-0.096582023821202,-0.0875217025052619,-0.0861167219296528,-0.0931715190831783,-0.100177161359296,-0.0986717936470816,-0.0999569248112005,-0.111164677394307,-0.116767308663409
"BRB","Barbados",0.124466642001405,0.121763330755073,0.118694117598587,0.116333353649423,0.114988568244198,0.114659292965558,0.116745589760486,0.123004832346604,0.128782802438115,0.126083986143754,0.144993661022506,0.204587973821137,0.213775356561677,0.21225795338944,0.226630426617469,0.255592530853573,0.273210380670454,0.150526609837134,0.150512566021895,0.120128146648889,0.151406501427488,0.130025544228137,0.150418058953786,0.152192369486873,0.144376239732183,0.170206619199531,0.224872998290646,0.211688918217027,0.209035253188067
"BLR","Belarus",0.0345877559024428,0.0397203263441248,0.0433685455429893,0.0532798572679137,0.0489336030235793,0.0416194987925101,0.0332598013616771,0.023575501982304,0.0405554899284053,0.0256659231325333,0.0208403471245644,-0.0143438948854855,-0.010304073340319,-0.00242420211809458,0.0373774729812358,0.0359761265934354,0.0449727584805197,0.0679975960841568,0.0708315880061654,0.0692121694468301,0.0708175651973871,0.0903241204488185,0.10996895281566,0.103255058503084,0.10189439192955,0.0785018504658512,0.0531754745759986,0.0232445780773274,0.00437493315947468
"BEL","Belgium",0.12746269965765,0.13049209720631,0.126565869592269,0.117631491055939,0.114980550902404,0.11293134155366,0.110473245347599,0.109577200466161,0.0996884511523826,0.0960075076706843,0.0864988973970647,0.0958839213475778,0.0958547014107469,0.102735754989063,0.112801242838546,0.0974805757689051,0.092795757327068,0.0965955808754314,0.0976424510193561,0.102699928606246,0.0968964705354638,0.0821479713998525,0.0627390484375421,0.0457914691513386,0.0251350572252402,0.032763505705001,0.0116819528588447,-0.0204453130102855,-0.0371611713174658
"BLZ","Belize",0.00670857633669802,0.0150007415543821,0.0115195627848916,0.0147071220770345,0.011055838270329,0.00728351127660759,0.00544343940124048,0.00401278569747077,-0.00147322430736208,-0.00264178698449646,0.0117662711189799,-0.0477798579668255,-0.0485088213348408,-0.046169300925001,-0.0203188856241173,-0.0267032456025326,-0.0513651822626724,-0.0271681176729204,-0.0223064286379052,-0.0277722624697698,-0.0317014465845991,-0.0323095941573162,-0.0339665856436909,-0.0277737480112714,-0.0360379092098375,-0.0319240275026599,-0.0520799703908326,-0.052949898675391,-0.0542439126918456
"BEN","Benin",-0.0197010454687543,-0.0199085128637873,-0.0237745179626726,-0.0275532623174886,-0.0295187901192136,-0.0314723847111189,-0.0348003224866698,-0.0379304442625975,-0.0209646622975596,-0.0206828984817345,-0.0539449069693655,-0.0569283314332613,-0.0446105373830294,-0.0503115143773925,-0.0699036157759779,-0.0865829249586924,-0.0803326165132413,-0.0998198012776429,-0.0811645141059096,-0.0696059076541483,-0.0477506312178353,-0.0394493787164721,-0.0322363812883488,-0.0102479377423174,-0.00908800047086283,0.0153797498632641,0.00557840646401742,0.0107135532261864,0.0130536418039116
"BTN","Bhutan",0.0872608254940562,0.0864446306641271,0.0835361369087494,0.0806899592732409,0.067912357703691,0.0558653707936881,0.0503459824004995,0.044401924637509,0.0923286896609953,0.078925375166411,0.0768849380731394,0.068451824833517,0.0976895468061323,0.102699953794977,0.101807052402487,0.0923853531278366,0.0813564586503865,0.0865469419118873,0.0903535142200541,0.13153172074886,0.105564395402283,0.134270259385842,0.165794335166733,0.170495626045432,0.166254447651102,0.169317204784144,0.15825353097504,0.151321640598977,0.151992507266525
"BOL","Bolivia, Plurinational State of",-0.0653654085483067,-0.065738600314522,-0.0515565218635113,-0.0401520618280342,-0.0442454356899772,-0.0501269111118273,-0.0609498650321971,-0.0790320816168169,-0.0657929121800477,-0.055726886810232,-0.0694258868230832,-0.059905724082384,-0.0530312114994414,-0.0625816584628139,-0.068554142149917,-0.0585332118307751,-0.0638322346912985,-0.0805447328719951,-0.0695964008885282,-0.076257140540661,-0.0850474501287924,-0.0856112349741911,-0.0803480543232171,-0.0817648598714497,-0.089597502632609,-0.0881085073305432,-0.094454059797398,-0.0983107232968252,-0.0962378587608724
"BIH","Bosnia and Herzegovina",0.0162415440345966,0.0126740952604367,0.00402273430802685,-0.00320555495545821,-0.0121531994898368,-0.0187695795576555,-0.0078859045177504,-0.00423910086293933,0.000795466270785472,-0.00156862895467008,0.000578983065016803,-0.0331147558911492,-0.0378533586782649,-0.0364028152910769,-0.0379734652730158,-0.0372585087018084,-0.0306508227144447,-0.0313945224123247,-0.0193191654190164,-0.0127542850393313,-0.0267392999369082,-0.0337919248251779,-0.0370812110736818,-0.0453135751620999,-0.0628179068619276,-0.0632086906110048,-0.0713994480152345,-0.0843363317591788,-0.0814040717175117
